ZIIZZIII	(0.0014577159781057004+0j)
ZIIIZIYY	(-0.0004285053403143888+0j)
ZIIIZIXX	(-0.0004285053403143888+0j)
ZIYYZIII	(-0.0004285053403143888+0j)
ZIXXZIII	(-0.0004285053403143888+0j)
IIZIIZZI	(0.0022037782940067027+0j)
IZZIIIZI	(0.0022037782940067027+0j)
YZYIYIYI	(8.443505316143374e-06+0j)
XZXIYIYI	(8.443505316143374e-06+0j)
YZYIXIXI	(8.443505316143374e-06+0j)
XZXIXIXI	(8.443505316143374e-06+0j)
YIYIYZYI	(8.443505316143374e-06+0j)
XIXIYZYI	(8.443505316143374e-06+0j)
YIYIXZXI	(8.443505316143374e-06+0j)
XIXIXZXI	(8.443505316143374e-06+0j)
IIZIZIZI	(0.002203778294006704+0j)
ZIZIIIZI	(0.002203778294006704+0j)
IYYIZYYI	(8.443505316143364e-06+0j)
IXXIZYYI	(8.443505316143364e-06+0j)
IYYIZXXI	(8.443505316143364e-06+0j)
IXXIZXXI	(8.443505316143364e-06+0j)
ZYYIIYYI	(8.443505316143364e-06+0j)
ZXXIIYYI	(8.443505316143364e-06+0j)
ZYYIIXXI	(8.443505316143364e-06+0j)
ZXXIIXXI	(8.443505316143364e-06+0j)
IZIIIZZI	(0.0017898059297894254+0j)
IZZIIZII	(0.0017898059297894254+0j)
YYIIIZZI	(8.722630319990572e-09+0j)
XXIIIZZI	(8.722630319990572e-09+0j)
IZIIYYZI	(8.72263031998377e-09+0j)
IZIIXXZI	(8.72263031998377e-09+0j)
YYZIIZII	(8.72263031998377e-09+0j)
XXZIIZII	(8.72263031998377e-09+0j)
IZZIYYII	(8.722630319990572e-09+0j)
IZZIXXII	(8.722630319990572e-09+0j)
YYIIYYZI	(-2.5264172628842862e-05+0j)
XXIIYYZI	(-2.5264172628842862e-05+0j)
YYIIXXZI	(-2.5264172628842862e-05+0j)
XXIIXXZI	(-2.5264172628842862e-05+0j)
YYZIYYII	(-2.5264172628842855e-05+0j)
XXZIYYII	(-2.5264172628842855e-05+0j)
YYZIXXII	(-2.5264172628842855e-05+0j)
XXZIXXII	(-2.5264172628842855e-05+0j)
IIIIZZZI	(0.0018576636428481335+0j)
ZIIIIZZI	(0.0018408429755354344+0j)
IZIIZIZI	(0.0018408429755354344+0j)
ZZIIIIZI	(0.0018745506534804204+0j)
IIZIZZII	(0.0018745506534804204+0j)
ZIZIIZII	(0.0018408429755354344+0j)
IZZIZIII	(0.0018408429755354344+0j)
ZZZIIIII	(0.0018576636428481335+0j)
ZIIIYYZI	(-8.722630318791209e-09+0j)
ZIIIXXZI	(-8.722630318791209e-09+0j)
YYIIZIZI	(-8.722630318793138e-09+0j)
XXIIZIZI	(-8.722630318793138e-09+0j)
ZIZIYYII	(-8.722630318793138e-09+0j)
ZIZIXXII	(-8.722630318793138e-09+0j)
YYZIZIII	(-8.722630318791209e-09+0j)
XXZIZIII	(-8.722630318791209e-09+0j)
ZIIIZIZI	(0.0017898059297894282+0j)
ZIZIZIII	(0.0017898059297894282+0j)
IZIIZZII	(0.0015811337696821771+0j)
ZZIIIZII	(0.0015811337696821771+0j)
ZIIIZZII	(0.0015811337696821795+0j)
ZZIIZIII	(0.0015811337696821795+0j)
